text,emotion,error_type,predicted,actual
kusolwa umkhuba ekhaya ngotholwe emotweni yakhe eseshonile esonakele,disgust,False Negative,False,True
kusolwa umkhuba ekhaya ngotholwe emotweni yakhe eseshonile esonakele,joy,False Positive,True,False
kusolwa umkhuba ekhaya ngotholwe emotweni yakhe eseshonile esonakele,sadness,False Negative,False,True
kusale oyedwa enkundleni bedubulana namaphoyisa,joy,False Positive,True,False
kusale oyedwa enkundleni bedubulana namaphoyisa,surprise,False Positive,True,False
ubone afike ngayo ularsen exoshwa kwichippa,sadness,False Negative,False,True
ubone afike ngayo ularsen exoshwa kwichippa,surprise,False Negative,False,True
uzuma uhlawuliswe r60 000 ngenkulumo enokucwasa,joy,False Positive,True,False
ngeke ngithuke ngoba legenge ehamba nama sonto iweekend yonke ave idlana lapha ematendeni  ,joy,False Positive,True,False
abebucs nelinye ithambo lokugiya,joy,False Positive,True,False
abebucs nelinye ithambo lokugiya,surprise,False Positive,True,False
eminye imizamo yokuqhuba isibonelelo sabangasebenzi,joy,False Positive,True,False
eminye imizamo yokuqhuba isibonelelo sabangasebenzi,surprise,False Positive,True,False
kudonselwane izibhamu kuvulwa inkulisa empendle,surprise,False Positive,True,False
mfo_kathabizolo yobe bafo wami ngiyazisola futhi,joy,False Positive,True,False
kushone ozalwa abashonela enigeria,sadness,False Negative,False,True
umokwena uthiywa yimiphumela emibi,surprise,False Positive,True,False
qmqilingwa charliesamsonsa omzala abekho la kutwitter bale evillage,joy,False Positive,True,False
qmqilingwa charliesamsonsa omzala abekho la kutwitter bale evillage,surprise,False Positive,True,False
ayandise izinhlelo ezintsha isabc,joy,False Positive,True,False
ayandise izinhlelo ezintsha isabc,surprise,False Positive,True,False
uvalo amabhubesi ebhubhisa imfuyo,fear,False Negative,False,True
uvalo amabhubesi ebhubhisa imfuyo,surprise,False Positive,True,False
akulalwa ngihleli nawe bhari lomama wakhuluma engathi sihlukanisa unyaka nje mafreshsa ukhozi_fm,joy,False Positive,True,False
owepolokwane usefudukele kwiwits ezombophela zisuka,surprise,False Positive,True,False
likhotheme izinyane lesilo,joy,False Positive,True,False
likhotheme izinyane lesilo,surprise,False Positive,True,False
umphakathi uhlomule ngamaloli amanzi,joy,False Negative,False,True
umphakathi uhlomule ngamaloli amanzi,surprise,False Positive,True,False
waze wangcupha umuntu kodwa ngizothula ,fear,False Positive,True,False
waze wangcupha umuntu kodwa ngizothula ,sadness,False Positive,True,False
waze wangcupha umuntu kodwa ngizothula ,surprise,False Positive,True,False
mtimande_n ngizwe u kruger national park qha,surprise,False Positive,True,False
bahleli lubhojozi abangenelwa abazenza amaphoyisa,joy,False Positive,True,False
ngingakabunjwa wayengazi sengingibunjiwe wayengazi asiphakamise izithunywa  ingathi uthixo anganembatha ngamandla okuqhubekela phambili noma kunzima sengathi omdala kunezinsuku anganihlenga aniphephise ezingozini nasemgadlweni nasezifungweni nalapho,surprise,False Positive,True,False
nomndayi mina ngingayijabulela i sabbatical sthezozo even if its forced ngingayijabulela ,fear,False Positive,True,False
kugwazwe kwabulawa owayeyiphini likasihlalo weanc etshwane,sadness,False Negative,False,True
kugwazwe kwabulawa owayeyiphini likasihlalo weanc etshwane,surprise,False Positive,True,False
babhodla umlilo ngomholi weanc obulewe,anger,False Negative,False,True
babhodla umlilo ngomholi weanc obulewe,joy,False Positive,True,False
kushiswe ibhungu umphambili libulawa,sadness,False Negative,False,True
bafuna ibe yisidlo sikakhisimusi isupersport,joy,False Positive,True,False
bafuna ibe yisidlo sikakhisimusi isupersport,surprise,False Positive,True,False
uhlose ukubhala incwadi ngomlando wobuciko,joy,False Positive,True,False
ligqunywe esitokisini iphoyisa elisolwa ngokubulala,joy,False Positive,True,False
ligqunywe esitokisini iphoyisa elisolwa ngokubulala,sadness,False Negative,False,True
