text,true_label,predicted_label,correct
lolall these oyibo therapy no dey workpesin wey own househim wife dey disrespect am a single dose of slapafenac everyday will calm her navs,anger,sadness,False
oh na guy u be sef and ive been calm with my words thinking im talking with a female alaye if u dont get the fuck off from here now eeeh,anger,sadness,False
even off campus dem dey wreck,anger,sadness,False
i just dey vex i just dey quiet make e no be like say na bad belle dey do me,anger,surprise,False
e dey do me like say make i konk your head,anger,surprise,False
na una type de run like never before,anger,surprise,False
dey pain me reach bones say anytime i talk with my cousins or friends from benin city dem go chop bini like cabin biscuits and ill be replying with dirty english who do me dis thing self,disgust,sadness,False
who de breeetttt all of una combined shey u wan try oya do am if e easy,disgust,sadness,False
some people just dey make mouth but their money na audiowe no dey see am at all the dream is,disgust,sadness,False
gtb just charge me for april sms abeg if na play make una stop how many una send me,disgust,surprise,False
i don baff like times and its not yet pm yet come imagine some people go still dey knack inside this kind weather o,disgust,surprise,False
na ur time enjoy my own sef dey come,disgust,surprise,False
make wuna stop dey like my tweets e dey make me think say don send me money i take god beg wuna i no want heart attack,fear,sadness,False
i get two weddings tomorrow materials don land buh was super lazy to sew now im tryna dodge em and idk how one na my tenant the other guy na childhood friend from church plus i get burial condolence same tomorrow i just want to be a toddler again god,fear,sadness,False
im scared to take this loan from my sister her terms na die like im your baby brother oh this girl,fear,sadness,False
e be like say e don happen o,fear,surprise,False
if anybody dey wey i don offend in one way or the other make una please slide in my dm imma apologize either im at fault or youre at fault i go apologize and let all go its december thanks love always ,fear,surprise,False
i don download this abeg app for like months now and i never win any giveaway se na so e bad reach ni abi na only me,fear,surprise,False
im still in love x s u p e r s u n d a y e v e n i n g w p l a y l i s t c o n t a g i o u s download app,joy,fear,False
im still in love x s u p e r s u n d a y e v e n i n g w p l a y l i s t c o n t a g i o u s download app,joy,fear,False
add that special red oil pepper sauce join down am with pepsi wen dey sweat and the rapture don complete walahii,joy,sadness,False
man wizkid is fucking good dey chop beats like say na hot akara,joy,sadness,False
omo this angel don dey enter my eye when do they start voting ukwu nwere ntị,joy,sadness,False
e choke wow this awesome,joy,surprise,False
i am sitting here no leave no transfer abeg reply his apology e sweet me o na atom special,joy,surprise,False
happy birthday dear by the way in my heart there is a permanent place for you thats why my hear dey beat like dundunke dundunke great lyric and the depth is madwe don dey wait song since and you blessed our heart with this,joy,surprise,False
e con be like say i no wan serious with my life again,sadness,surprise,False
wetin dis d tok i feel your pain o,sadness,surprise,False
i don de retweet my data crying my fingers crying,sadness,surprise,False
lmao i just remembered akah and claire so as light no dey now how dem dey store their breast milk,surprise,sadness,False
e don happn wahala be like bicycle,surprise,sadness,False
youre so rightna them dey rush d guy for original charger,surprise,sadness,False
